Biosample ID	Population code
SAME125194	CHS
SAME1839278	CHS
SAME124258	CHS
SAME124537	FIN
SAME124540	FIN
SAME123550	CDX
SAME123399	CDX
SAME123540	CDX
SAME124319	CDX
SAME123770	CDX
SAME123523	CDX
SAME123728	CDX
SAME123169	PUR
SAME123180	PUR
SAME123251	CHS
SAME123241	CHS
SAME123606	CHS
SAME123079	CHS
SAME122903	CHS
SAME123650	PUR
SAME123435	PUR
SAME123890	CHS
SAME123893	CHS
SAME123161	CHS
SAME123042	PUR
SAME1840188	PUR
SAME125020	CDX
SAME124458	CDX
SAME122928	CHS
SAME125334	CHS
SAME123112	CHS
SAME1840267	CHS
SAME124070	PUR
SAME123013	PUR
SAME125395	PUR
SAME125394	PUR
SAME123638	PUR
SAME123014	PUR
SAME122997	PUR
SAME123490	PUR
SAME123677	PUR
SAME1840027	PUR
SAME1840002	PUR
SAME123533	GBR
SAME124859	CLM
SAME124688	CLM
SAME122855	CLM
SAME124508	CLM
SAME1840339	CLM
SAME124288	CLM
SAME124796	PUR
SAME124623	PUR
SAME124618	PUR
SAME124789	PUR
SAME123674	PUR
SAME123484	CLM
SAME124054	CLM
SAME1839257	CLM
SAME122998	CLM
SAME122999	CLM
SAME123888	CLM
SAME124425	CLM
SAME124860	CLM
SAME124685	CLM
SAME125283	CLM
SAME125288	CLM
SAME124783	PUR
SAME124366	PUR
SAME1839879	PJL
SAME1839634	PJL
SAME125239	KHV
SAME123455	IBS
SAME122969	CLM
SAME122972	CLM
SAME122804	CLM
SAME1839954	PUR
SAME123238	CLM
SAME1839099	CLM
SAME1840278	CLM
SAME122879	CLM
SAME124137	CLM
SAME124134	CLM
SAME124941	IBS
SAME124009	CLM
SAME124565	PEL
SAME124350	PEL
SAME125327	IBS
SAME125330	IBS
SAME125136	IBS
SAME125135	IBS
SAME122881	CLM
SAME1840047	CLM
SAME1839239	CLM
SAME124946	IBS
SAME124769	IBS
SAME124772	IBS
SAME124427	IBS
SAME124222	GBR
SAME124217	CDX
SAME124657	IBS
SAME124844	IBS
SAME1839210	IBS
SAME123259	IBS
SAME123264	IBS
SAME123458	IBS
SAME123626	IBS
SAME123631	IBS
SAME123844	IBS
SAME123839	IBS
SAME124032	IBS
SAME123111	IBS
SAME123290	IBS
SAME124300	CDX
SAME124519	CDX
SAME124524	CDX
SAME123551	KHV
SAME124637	IBS
SAME124632	IBS
SAME123558	KHV
SAME123751	KHV
SAME123754	KHV
SAME123201	KHV
SAME123287	IBS
SAME124654	IBS
SAME124987	IBS
SAME123619	PEL
SAME123621	PEL
SAME123444	ACB
SAME123447	KHV
SAME124917	PEL
SAME1840099	ACB
SAME124742	PEL
SAME124740	PEL
SAME1840348	ACB
SAME1839853	ACB
SAME123788	PEL
SAME124155	PEL
SAME123980	PEL
SAME1839343	ACB
SAME123782	PEL
SAME123588	PEL
SAME124150	PEL
SAME1839067	PEL
SAME124328	PEL
SAME124332	PEL
SAME122845	ACB
SAME122851	ACB
SAME123029	ACB
SAME125318	KHV
SAME1839777	KHV
SAME123196	KHV
SAME123995	KHV
SAME1839579	IBS
SAME1839649	IBS
SAME1839376	IBS
SAME123520	IBS
SAME1839268	CDX
SAME1839922	ACB
SAME1839990	KHV
SAME123475	KHV
SAME1839904	KHV
SAME1839872	KHV
SAME124973	KHV
SAME124821	PEL
SAME124650	PEL
SAME123874	PEL
SAME1839543	ACB
SAME125319	KHV
SAME1839679	KHV
SAME124614	KHV
SAME1839700	PEL
SAME1839337	ACB
SAME1839128	PEL
SAME124794	CDX
SAME124207	CDX
SAME124414	CDX
SAME123208	CDX
SAME123215	CDX
SAME123105	KHV
SAME123108	KHV
SAME1840306	PEL
SAME1840362	PEL
SAME1840094	ACB
SAME122912	PEL
SAME1839391	ACB
SAME1839521	ACB
SAME1839315	ACB
SAME1839296	ACB
SAME1840284	CDX
SAME1840261	CDX
SAME1840379	CDX
SAME1840244	CDX
SAME1839625	PJL
SAME1839334	ACB
SAME1839978	GWD
SAME1839741	ACB
SAME1839717	ACB
SAME1839934	PEL
SAME1839913	PEL
SAME124280	PEL
SAME1839842	CDX
SAME1839412	CDX
SAME1839464	CDX
SAME1839244	ACB
SAME1840025	CDX
SAME1839998	CDX
SAME123305	CDX
SAME1839175	ACB
SAME1840341	ACB
SAME1839740	PJL
SAME1839715	PJL
SAME1839886	PJL
SAME1839860	PJL
SAME1839530	PJL
SAME1839590	PJL
SAME1839667	PJL
SAME1839386	GWD
SAME1840282	PJL
SAME1840401	GWD
SAME1840182	GWD
SAME1840238	GWD
SAME1840023	GWD
SAME1839792	GWD
SAME1839477	GWD
SAME1839286	PJL
SAME1840326	KHV
SAME1840214	ACB
SAME1839932	ACB
SAME1840057	ACB
SAME1839642	ACB
SAME1839142	PJL
SAME1840159	PJL
SAME1839401	GWD
SAME1839841	GWD
SAME1839591	GWD
SAME1839422	GWD
SAME1839352	GWD
SAME1840009	GWD
SAME1840242	BEB
SAME1840053	PJL
SAME1840415	PJL
SAME1840387	GWD
SAME1839028	PJL
SAME1840292	PJL
SAME1839284	ESN
SAME1840275	ESN
SAME1840320	GWD
SAME1840171	GWD
SAME1840255	ESN
SAME1840223	ESN
SAME1840147	GWD
SAME1839357	PJL
SAME1839295	PJL
SAME1839053	GWD
SAME1839168	GWD
SAME1839907	ESN
SAME1839563	ESN
SAME1839683	ESN
SAME1839148	ESN
SAME1840386	ESN
SAME1839375	ESN
SAME1839083	ESN
SAME1839711	GWD
SAME1839653	GWD
SAME1839984	ESN
SAME1839919	ESN
SAME1839226	MSL
SAME1840146	ESN
SAME1840316	MSL
SAME1840296	GWD
SAME1840167	ESN
SAME1839861	ESN
SAME1840066	ESN
SAME1839743	MSL
SAME1839569	MSL
SAME1839206	ESN
SAME1840350	ESN
SAME1840249	ESN
SAME1840169	ESN
SAME1840186	ESN
SAME1839623	MSL
SAME1839474	MSL
SAME1840120	MSL
SAME1839766	MSL
SAME1839490	ESN
SAME1839594	MSL
SAME1839400	MSL
SAME1839621	PJL
SAME1839641	STU
SAME1839505	PJL
SAME1840032	PJL
SAME1839773	PJL
SAME1839815	ITU
SAME1840064	PJL
SAME1839571	PJL
SAME1839664	ITU
SAME1839695	ITU
SAME1839251	STU
SAME1839236	MSL
SAME1839271	MSL
SAME1839181	BEB
SAME1840254	BEB
SAME1840365	STU
SAME1840128	STU
SAME1839553	MSL
SAME1839421	MSL
SAME1839456	BEB
SAME1839341	BEB
SAME1840210	ITU
SAME1840237	ITU
SAME1839928	BEB
SAME1839131	PJL
SAME1840398	ITU
SAME1840340	ITU
SAME1840013	STU
SAME1839906	STU
SAME1839476	STU
SAME1839554	BEB
SAME1839200	STU
SAME1839062	STU
SAME1839105	STU
SAME1840156	ITU
SAME1840087	ITU
SAME1840205	ITU
SAME1840283	STU
SAME1839503	BEB
SAME1839203	STU
SAME1839221	STU
SAME1839094	ITU
SAME1839031	ITU
SAME1839140	ITU
SAME1840381	BEB
SAME1840098	BEB
SAME1839323	BEB
SAME1840305	BEB
SAME1840233	STU
SAME1840181	STU
SAME1840072	ITU
SAME1839735	ITU
SAME1840211	ITU
SAME1839536	STU
SAME1840361	STU
SAME1840129	STU
SAME1839279	BEB
SAME1839696	ITU
SAME1839487	STU
SAME1839605	STU
SAME1839408	STU
SAME123964	CEU
SAME125142	CEU
SAME123213	CEU
SAME124764	CEU
SAME124934	CEU
SAME124555	CEU
SAME123046	CEU
SAME125095	CEU
SAME123573	CEU
SAME123570	CEU
SAME123412	CEU
SAME124549	CEU
SAME124545	CEU
SAME124754	CEU
SAME124929	CEU
SAME1839835	ITU
SAME1839447	ITU
SAME1839753	BEB
SAME125331	CEU
SAME1839048	ITU
SAME124827	CEU
SAME124646	CEU
SAME125109	CEU
SAME124472	CEU
SAME124193	CEU
SAME124057	CEU
SAME124777	CEU
SAME123911	CEU
SAME122827	CEU
SAME123024	CEU
SAME123025	CEU
SAME125290	CEU
SAME123416	CEU
SAME124959	CEU
SAME125372	CEU
SAME125249	CEU
SAME124889	YRI
SAME123565	YRI
SAME124672	CHB
SAME124642	CEU
SAME123946	CEU
SAME124589	CEU
SAME124058	YRI
SAME124991	YRI
SAME125059	YRI
SAME123390	CEU
SAME124099	YRI
SAME124482	CHB
SAME124485	CHB
SAME124265	CHB
SAME123407	YRI
SAME123202	YRI
SAME124309	JPT
SAME124704	CHB
SAME124693	CHB
SAME122980	CHB
SAME122975	CHB
SAME124731	YRI
SAME124905	YRI
SAME123536	YRI
SAME125043	CHB
SAME124509	CHB
SAME125250	CHB
SAME125107	YRI
SAME123404	YRI
SAME123741	CHB
SAME123905	CHB
SAME124262	CHB
SAME123928	CHB
SAME124073	CHB
SAME124734	YRI
SAME123713	CHB
SAME124876	CHB
SAME125034	CHB
SAME123365	JPT
SAME123173	YRI
SAME123168	YRI
SAME125401	YRI
SAME125389	YRI
SAME124914	YRI
SAME124512	JPT
SAME124854	LWK
SAME124848	LWK
SAME123544	LWK
SAME124664	LWK
SAME123759	JPT
SAME123426	JPT
SAME125069	JPT
SAME124894	JPT
SAME124316	JPT
SAME124112	JPT
SAME124107	JPT
SAME123958	JPT
SAME125242	LWK
SAME125028	JPT
SAME125023	JPT
SAME124891	JPT
SAME124473	JPT
SAME125133	JPT
SAME123008	JPT
SAME122824	JPT
SAME125313	JPT
SAME123963	JPT
SAME123768	JPT
SAME123682	YRI
SAME124707	YRI
SAME124981	LWK
SAME123309	LWK
SAME124049	YRI
SAME122990	YRI
SAME122983	YRI
SAME124609	YRI
SAME124606	YRI
SAME124838	YRI
SAME125384	YRI
SAME125218	YRI
SAME125000	YRI
SAME125021	YRI
SAME125230	YRI
SAME124075	LWK
SAME125111	LWK
SAME124469	LWK
SAME124273	LWK
SAME124493	LWK
SAME124490	LWK
SAME123636	LWK
SAME123438	LWK
SAME124569	LWK
SAME123274	LWK
SAME124882	YRI
SAME123861	YRI
SAME122796	MXL
SAME122938	MXL
SAME122939	MXL
SAME124232	ASW
SAME123120	LWK
SAME123307	MXL
SAME124976	MXL
SAME124448	ASW
SAME124444	MXL
SAME124118	MXL
SAME124726	MXL
SAME123699	MXL
SAME123696	MXL
SAME124689	MXL
SAME124778	MXL
SAME124872	MXL
SAME124980	MXL
SAME122960	MXL
SAME122792	MXL
SAME123896	MXL
SAME124068	MXL
SAME124065	MXL
SAME123850	LWK
SAME123847	LWK
SAME122949	LWK
SAME125413	LWK
SAME124785	ASW
SAME124002	ASW
SAME124362	TSI
SAME124561	TSI
SAME123178	TSI
SAME124019	TSI
SAME124015	TSI
SAME124579	ASW
SAME124373	ASW
SAME124380	ASW
SAME123145	MXL
SAME123148	MXL
SAME123328	MXL
SAME124398	ASW
SAME124401	ASW
SAME124601	ASW
SAME122885	ASW
SAME123613	ASW
SAME124581	ASW
SAME125274	ASW
SAME124711	ASW
SAME124287	ASW
SAME124676	ASW
SAME125053	ASW
SAME123806	ASW
SAME124197	ASW
SAME125146	TSI
SAME123474	TSI
SAME123481	TSI
SAME124178	TSI
SAME125117	TSI
SAME124364	TSI
SAME124367	TSI
SAME123432	GIH
SAME123248	GIH
SAME123249	GIH
SAME123807	GIH
SAME123808	GIH
SAME125224	TSI
SAME125359	TSI
SAME123069	TSI
SAME124574	TSI
SAME123819	TSI
SAME125186	TSI
SAME123076	TSI
SAME124171	TSI
SAME124168	TSI
SAME124525	GIH
SAME123109	GIH
SAME123664	GIH
SAME122841	GIH
SAME123595	GIH
SAME123359	GIH
SAME123322	GIH
SAME123319	GIH
SAME124440	GIH
SAME124437	GIH
SAME122920	GIH
SAME122915	GIH
SAME124182	GIH
SAME124185	GIH
SAME124024	GIH
SAME124023	GIH
SAME125348	GBR
SAME122873	GBR
SAME122872	GBR
SAME123062	GBR
SAME123947	GBR
SAME125343	GBR
SAME123271	GBR
SAME123945	GBR
SAME124593	GBR
SAME124590	GBR
SAME124961	FIN
SAME124956	FIN
SAME123642	FIN
SAME123641	FIN
SAME123856	FIN
SAME124123	GBR
SAME123051	GBR
SAME123057	GBR
SAME123582	GBR
SAME123579	GBR
SAME123795	FIN
SAME123799	FIN
SAME123985	FIN
SAME123982	FIN
SAME123420	FIN
SAME123423	FIN
SAME122835	FIN
SAME123059	GBR
SAME124396	GBR
SAME124391	GBR
SAME1840118	FIN
SAME124160	FIN
SAME124339	FIN
SAME124130	GBR
SAME123219	GBR
SAME124924	FIN
SAME123343	CHS
SAME123334	CHS
SAME123362	CHS
SAME123526	CHS
SAME123242	CHS
SAME125268	CHS
SAME124345	CHS
SAME124086	CHS
SAME124252	PUR
SAME125373	CHS
SAME125195	CHS
SAME125193	CHS
SAME123082	CHS
SAME122812	CHS
SAME125262	CHS
SAME124920	CHS
SAME124745	FIN
SAME123031	FIN
SAME123159	CHS
SAME123971	CHS
SAME124830	CHS
SAME124200	CHS
SAME125167	CHS
SAME125127	FIN
SAME124538	FIN
SAME124541	FIN
SAME124749	FIN
SAME125005	CHS
SAME1839802	CHS
SAME123252	CHS
SAME123255	CHS
SAME123814	CHS
SAME123604	CHS
SAME123078	CHS
SAME123652	PUR
SAME123434	PUR
SAME123892	CHS
SAME123686	CHS
SAME123549	CDX
SAME123524	CDX
SAME123166	PUR
SAME123663	PUR
SAME122821	PUR
SAME124294	PUR
SAME124095	PUR
SAME125333	PUR
SAME125391	PUR
SAME1839489	PUR
SAME122924	PUR
SAME123676	PUR
SAME123016	PUR
SAME125113	PUR
SAME124833	PUR
SAME122933	CHS
